transaction_id,customer_id,amount,type,timestamp,destination_country,notes
TXN-00091286,CUST-002133,2410050.8,WIRE_TRANSFER,2025-09-03T15:14:03.915019,Iran,High risk corridor
TXN-00048863,CUST-007305,5792.67,TRANSFER,2025-09-03T15:33:03.915019,PK,Normal transaction
TXN-00015893,CUST-003720,26012.75,TRANSFER,2025-09-03T15:38:03.915019,PK,Normal transaction
TXN-00089372,CUST-006260,10425.96,WITHDRAWAL,2025-09-03T15:42:03.915019,PK,Normal transaction
TXN-00034469,CUST-007158,15782.92,WITHDRAWAL,2025-09-03T15:48:03.915019,PK,Normal transaction
TXN-00052246,CUST-002938,44701.54,TRANSFER,2025-09-03T15:49:03.915019,PK,Normal transaction
TXN-00042164,CUST-002113,37643.42,DEPOSIT,2025-09-03T15:53:03.915019,PK,Normal transaction
TXN-00012815,CUST-004517,45542.09,WITHDRAWAL,2025-09-03T15:54:03.915019,PK,Normal transaction
TXN-00038400,CUST-005521,29406.97,WITHDRAWAL,2025-09-03T15:56:03.915019,PK,Normal transaction
TXN-00037750,CUST-008584,10390.15,WITHDRAWAL,2025-09-03T16:05:03.915019,PK,Normal transaction
TXN-00042119,CUST-001878,10811.99,DEPOSIT,2025-09-03T16:05:03.915019,PK,Normal transaction
TXN-00088211,CUST-009824,15707.57,WITHDRAWAL,2025-09-03T16:16:03.915019,PK,Normal transaction
TXN-00028009,CUST-003901,43077.56,WITHDRAWAL,2025-09-03T16:17:03.915019,PK,Normal transaction
TXN-00008630,CUST-000397,38175.93,WITHDRAWAL,2025-09-03T16:29:03.915019,PK,Normal transaction
TXN-00089476,CUST-001156,29091.78,DEPOSIT,2025-09-03T16:41:03.915019,PK,Normal transaction
TXN-00073883,CUST-002063,30136.78,DEPOSIT,2025-09-03T16:45:03.915019,PK,Normal transaction
TXN-00066426,CUST-007777,14722.53,DEPOSIT,2025-09-03T16:49:03.915019,PK,Normal transaction
TXN-00083102,CUST-009095,14221.8,DEPOSIT,2025-09-03T17:01:03.915019,PK,Normal transaction
TXN-00056388,CUST-003519,29203.47,DEPOSIT,2025-09-03T17:06:03.915019,PK,Normal transaction
TXN-00056646,CUST-007466,38009.48,DEPOSIT,2025-09-03T17:12:03.915019,PK,Normal transaction
TXN-00083957,CUST-003988,19895.93,WITHDRAWAL,2025-09-03T17:12:03.915019,PK,Normal transaction
TXN-00090990,CUST-003188,998529.83,CASH_DEPOSIT,2025-09-03T17:14:03.915019,PK,Structuring risk
TXN-00058003,CUST-001434,38576.74,TRANSFER,2025-09-03T17:23:03.915019,PK,Normal transaction
TXN-00053001,CUST-006809,19116.08,TRANSFER,2025-09-03T17:27:03.915019,PK,Normal transaction
TXN-00074457,CUST-004704,24400.84,TRANSFER,2025-09-03T17:36:03.915019,PK,Normal transaction
TXN-00050785,CUST-001978,24952.64,DEPOSIT,2025-09-03T17:41:03.915019,PK,Normal transaction
TXN-00054395,CUST-003277,46707.15,WITHDRAWAL,2025-09-03T17:44:03.915019,PK,Normal transaction
TXN-00030493,CUST-008019,7910.37,DEPOSIT,2025-09-03T17:52:03.915019,PK,Normal transaction
TXN-00013601,CUST-005434,11995.6,DEPOSIT,2025-09-03T17:53:03.915019,PK,Normal transaction
TXN-00029375,CUST-002108,36557.84,DEPOSIT,2025-09-03T17:53:03.915019,PK,Normal transaction
TXN-00052567,CUST-006806,31013.8,TRANSFER,2025-09-03T17:58:03.915019,PK,Normal transaction
TXN-00077686,CUST-000280,34998.79,WITHDRAWAL,2025-09-03T18:05:03.915019,PK,Normal transaction
TXN-00041438,CUST-002915,25196.61,WITHDRAWAL,2025-09-03T18:29:03.915019,PK,Normal transaction
TXN-00043042,CUST-007517,48618.73,TRANSFER,2025-09-03T18:31:03.915019,PK,Normal transaction
TXN-00070163,CUST-000135,26238.78,DEPOSIT,2025-09-03T18:38:03.915019,PK,Normal transaction
TXN-00007863,CUST-004142,39111.76,WITHDRAWAL,2025-09-03T18:40:03.915019,PK,Normal transaction
TXN-00060723,CUST-008358,44055.55,WITHDRAWAL,2025-09-03T18:54:03.915019,PK,Normal transaction
TXN-00071567,CUST-005837,9709.12,WITHDRAWAL,2025-09-03T18:58:03.915019,PK,Normal transaction
TXN-00035530,CUST-002112,12694.42,TRANSFER,2025-09-03T19:02:03.915019,PK,Normal transaction
TXN-00073786,CUST-007768,38708.84,TRANSFER,2025-09-03T19:02:03.915019,PK,Normal transaction
TXN-00044317,CUST-003424,44584.51,TRANSFER,2025-09-03T19:09:03.915019,PK,Normal transaction
TXN-00010231,CUST-006172,20232.3,WITHDRAWAL,2025-09-03T19:14:03.915019,PK,Normal transaction
TXN-00074153,CUST-002714,5453.38,TRANSFER,2025-09-03T19:25:03.915019,PK,Normal transaction
TXN-00018350,CUST-000254,16102.27,TRANSFER,2025-09-03T19:27:03.915019,PK,Normal transaction
TXN-00068971,CUST-000381,32278.25,TRANSFER,2025-09-03T19:27:03.915019,PK,Normal transaction
TXN-00033013,CUST-003412,37134.32,WITHDRAWAL,2025-09-03T19:28:03.915019,PK,Normal transaction
TXN-00045005,CUST-002794,34389.49,TRANSFER,2025-09-03T19:37:03.915019,PK,Normal transaction
TXN-00004324,CUST-009128,15854.76,TRANSFER,2025-09-03T19:42:03.915019,PK,Normal transaction
TXN-00064277,CUST-007457,46476.06,TRANSFER,2025-09-03T20:00:03.915019,PK,Normal transaction
TXN-00065710,CUST-001015,27882.74,WITHDRAWAL,2025-09-03T20:00:03.915019,PK,Normal transaction
TXN-00087791,CUST-007680,26709.45,DEPOSIT,2025-09-03T20:00:03.915019,PK,Normal transaction
TXN-00037229,CUST-002840,19228.77,TRANSFER,2025-09-03T20:06:03.915019,PK,Normal transaction
TXN-00070080,CUST-009677,42351.54,WITHDRAWAL,2025-09-03T20:07:03.915019,PK,Normal transaction
TXN-00038889,CUST-001985,29056.01,TRANSFER,2025-09-03T20:23:03.915019,PK,Normal transaction
TXN-00050318,CUST-009233,20299.13,TRANSFER,2025-09-03T20:25:03.915019,PK,Normal transaction
TXN-00074406,CUST-002737,33419.08,DEPOSIT,2025-09-03T20:27:03.915019,PK,Normal transaction
TXN-00006878,CUST-000549,12700.94,WITHDRAWAL,2025-09-03T20:31:03.915019,PK,Normal transaction
TXN-00073189,CUST-000744,23232.94,WITHDRAWAL,2025-09-03T20:33:03.915019,PK,Normal transaction
TXN-00053691,CUST-003323,31892.79,WITHDRAWAL,2025-09-03T20:45:03.915019,PK,Normal transaction
TXN-00023310,CUST-001818,26744.27,DEPOSIT,2025-09-03T20:47:03.915019,PK,Normal transaction
TXN-00085827,CUST-004708,9640.1,DEPOSIT,2025-09-03T20:48:03.915019,PK,Normal transaction
TXN-00044678,CUST-000847,4280.41,WITHDRAWAL,2025-09-03T20:57:03.915019,PK,Normal transaction
TXN-00011970,CUST-008263,45300.25,TRANSFER,2025-09-03T21:03:03.915019,PK,Normal transaction
TXN-00078974,CUST-001517,14803.65,TRANSFER,2025-09-03T21:06:03.915019,PK,Normal transaction
TXN-00051918,CUST-008506,22241.53,WITHDRAWAL,2025-09-03T21:26:03.915019,PK,Normal transaction
TXN-00018172,CUST-003058,1102.04,TRANSFER,2025-09-03T21:27:03.915019,PK,Normal transaction
TXN-00061314,CUST-008649,49332.37,DEPOSIT,2025-09-03T21:36:03.915019,PK,Normal transaction
TXN-00030132,CUST-009294,28330.28,DEPOSIT,2025-09-03T21:42:03.915019,PK,Normal transaction
TXN-00048985,CUST-004203,45205.4,TRANSFER,2025-09-03T22:04:03.915019,PK,Normal transaction
TXN-00040998,CUST-004639,44321.04,TRANSFER,2025-09-03T22:18:03.915019,PK,Normal transaction
TXN-00015741,CUST-001663,42606.14,WITHDRAWAL,2025-09-03T22:23:03.915019,PK,Normal transaction
TXN-00059789,CUST-003429,22272.04,DEPOSIT,2025-09-03T22:26:03.915019,PK,Normal transaction
TXN-00050086,CUST-001664,47898.42,DEPOSIT,2025-09-03T22:46:03.915019,PK,Normal transaction
TXN-00051071,CUST-004961,37255.28,WITHDRAWAL,2025-09-03T22:57:03.915019,PK,Normal transaction
TXN-00011765,CUST-003515,15949.5,WITHDRAWAL,2025-09-03T22:58:03.915019,PK,Normal transaction
TXN-00090349,CUST-001962,967964.26,CASH_DEPOSIT,2025-09-03T23:14:03.915019,PK,Structuring risk
TXN-00036899,CUST-001517,11557.28,DEPOSIT,2025-09-03T23:19:03.915019,PK,Normal transaction
TXN-00001750,CUST-002465,28506.63,WITHDRAWAL,2025-09-03T23:32:03.915019,PK,Normal transaction
TXN-00083180,CUST-006664,16283.0,WITHDRAWAL,2025-09-03T23:36:03.915019,PK,Normal transaction
TXN-00042028,CUST-009795,21580.32,WITHDRAWAL,2025-09-03T23:38:03.915019,PK,Normal transaction
TXN-00010380,CUST-004427,38652.49,WITHDRAWAL,2025-09-03T23:43:03.915019,PK,Normal transaction
TXN-00032162,CUST-004035,41700.61,TRANSFER,2025-09-03T23:54:03.915019,PK,Normal transaction
TXN-00040629,CUST-004409,21007.0,DEPOSIT,2025-09-04T00:01:03.915019,PK,Normal transaction
TXN-00072880,CUST-005758,41242.4,DEPOSIT,2025-09-04T00:01:03.915019,PK,Normal transaction
TXN-00074857,CUST-000827,12424.56,DEPOSIT,2025-09-04T00:04:03.915019,PK,Normal transaction
TXN-00010166,CUST-001413,18549.49,DEPOSIT,2025-09-04T00:07:03.915019,PK,Normal transaction
TXN-00028643,CUST-004619,11625.34,WITHDRAWAL,2025-09-04T00:34:03.915019,PK,Normal transaction
TXN-00041165,CUST-000389,15682.49,DEPOSIT,2025-09-04T00:34:03.915019,PK,Normal transaction
TXN-00051355,CUST-006156,25141.08,WITHDRAWAL,2025-09-04T00:37:03.915019,PK,Normal transaction
TXN-00082636,CUST-003647,4614.17,WITHDRAWAL,2025-09-04T00:37:03.915019,PK,Normal transaction
TXN-00025591,CUST-003328,21526.09,DEPOSIT,2025-09-04T00:38:03.915019,PK,Normal transaction
TXN-00032062,CUST-009738,7671.71,WITHDRAWAL,2025-09-04T00:39:03.915019,PK,Normal transaction
TXN-00081483,CUST-000896,23710.04,TRANSFER,2025-09-04T00:39:03.915019,PK,Normal transaction
TXN-00015433,CUST-006023,25459.35,TRANSFER,2025-09-04T00:47:03.915019,PK,Normal transaction
TXN-00006192,CUST-004755,8798.4,WITHDRAWAL,2025-09-04T00:53:03.915019,PK,Normal transaction
TXN-00005980,CUST-001798,47234.43,TRANSFER,2025-09-04T00:57:03.915019,PK,Normal transaction
TXN-00043707,CUST-003329,4108.51,TRANSFER,2025-09-04T01:12:03.915019,PK,Normal transaction
TXN-00090991,CUST-003188,954180.24,CASH_DEPOSIT,2025-09-04T01:14:03.915019,PK,Structuring risk
TXN-00099232,CUST-008793,960279.24,CASH_DEPOSIT,2025-09-04T01:14:03.915019,PK,Structuring risk
TXN-00023012,CUST-007025,11279.69,TRANSFER,2025-09-04T01:15:03.915019,PK,Normal transaction
TXN-00056349,CUST-002196,23023.92,DEPOSIT,2025-09-04T01:16:03.915019,PK,Normal transaction
TXN-00081275,CUST-003543,34158.21,WITHDRAWAL,2025-09-04T01:16:03.915019,PK,Normal transaction
TXN-00082438,CUST-006450,6125.32,TRANSFER,2025-09-04T01:22:03.915019,PK,Normal transaction
TXN-00009375,CUST-008926,7703.81,DEPOSIT,2025-09-04T01:30:03.915019,PK,Normal transaction
TXN-00043648,CUST-008716,15824.4,TRANSFER,2025-09-04T01:32:03.915019,PK,Normal transaction
TXN-00026902,CUST-004645,5331.65,TRANSFER,2025-09-04T01:33:03.915019,PK,Normal transaction
TXN-00078548,CUST-000269,24612.82,WITHDRAWAL,2025-09-04T01:44:03.915019,PK,Normal transaction
TXN-00008863,CUST-001681,8700.19,DEPOSIT,2025-09-04T01:45:03.915019,PK,Normal transaction
TXN-00046926,CUST-001330,13689.55,WITHDRAWAL,2025-09-04T01:49:03.915019,PK,Normal transaction
TXN-00071590,CUST-003951,47985.04,DEPOSIT,2025-09-04T01:53:03.915019,PK,Normal transaction
TXN-00066094,CUST-006550,7852.64,DEPOSIT,2025-09-04T01:59:03.915019,PK,Normal transaction
TXN-00085216,CUST-001063,33270.0,TRANSFER,2025-09-04T02:06:03.915019,PK,Normal transaction
TXN-00070017,CUST-009170,5833.9,DEPOSIT,2025-09-04T02:08:03.915019,PK,Normal transaction
TXN-00071518,CUST-004138,16581.05,WITHDRAWAL,2025-09-04T02:10:03.915019,PK,Normal transaction
TXN-00025795,CUST-000154,10828.53,DEPOSIT,2025-09-04T02:18:03.915019,PK,Normal transaction
TXN-00070757,CUST-001812,12907.56,WITHDRAWAL,2025-09-04T02:19:03.915019,PK,Normal transaction
TXN-00074335,CUST-004125,34279.63,WITHDRAWAL,2025-09-04T02:32:03.915019,PK,Normal transaction
TXN-00062833,CUST-001859,40871.6,WITHDRAWAL,2025-09-04T02:38:03.915019,PK,Normal transaction
TXN-00080552,CUST-001431,35276.64,WITHDRAWAL,2025-09-04T02:40:03.915019,PK,Normal transaction
TXN-00059671,CUST-007019,11629.38,WITHDRAWAL,2025-09-04T02:49:03.915019,PK,Normal transaction
TXN-00064622,CUST-004366,35474.64,WITHDRAWAL,2025-09-04T02:55:03.915019,PK,Normal transaction
TXN-00085828,CUST-006963,40352.84,DEPOSIT,2025-09-04T02:58:03.915019,PK,Normal transaction
TXN-00077885,CUST-009668,5644.73,DEPOSIT,2025-09-04T03:56:03.915019,PK,Normal transaction
TXN-00034497,CUST-005885,25151.25,WITHDRAWAL,2025-09-04T04:06:03.915019,PK,Normal transaction
TXN-00021447,CUST-002879,19440.75,TRANSFER,2025-09-04T04:13:03.915019,PK,Normal transaction
TXN-00071927,CUST-005525,45780.18,DEPOSIT,2025-09-04T04:16:03.915019,PK,Normal transaction
TXN-00070233,CUST-002775,49540.15,WITHDRAWAL,2025-09-04T04:20:03.915019,PK,Normal transaction
TXN-00005372,CUST-000275,26929.87,TRANSFER,2025-09-04T04:26:03.915019,PK,Normal transaction
TXN-00065132,CUST-001812,16805.59,WITHDRAWAL,2025-09-04T04:27:03.915019,PK,Normal transaction
TXN-00067064,CUST-003866,19352.72,TRANSFER,2025-09-04T04:29:03.915019,PK,Normal transaction
TXN-00076316,CUST-000965,1151.96,WITHDRAWAL,2025-09-04T04:32:03.915019,PK,Normal transaction
TXN-00080469,CUST-007379,42479.85,WITHDRAWAL,2025-09-04T04:36:03.915019,PK,Normal transaction
TXN-00027594,CUST-002723,28846.57,TRANSFER,2025-09-04T04:37:03.915019,PK,Normal transaction
TXN-00006362,CUST-005477,44301.34,TRANSFER,2025-09-04T04:47:03.915019,PK,Normal transaction
TXN-00018044,CUST-000568,39179.57,WITHDRAWAL,2025-09-04T04:47:03.915019,PK,Normal transaction
TXN-00027551,CUST-009597,38517.33,DEPOSIT,2025-09-04T04:49:03.915019,PK,Normal transaction
TXN-00008373,CUST-007506,21044.51,DEPOSIT,2025-09-04T04:50:03.915019,PK,Normal transaction
TXN-00010256,CUST-002128,43730.4,WITHDRAWAL,2025-09-04T04:56:03.915019,PK,Normal transaction
TXN-00002602,CUST-000971,19349.68,WITHDRAWAL,2025-09-04T05:00:03.915019,PK,Normal transaction
